,sample,Variable,First Order Effect
0,complete,X1,0.2892675662672893
1,complete,X1,0.3091333357241806
2,complete,X1,0.3160956981915569
3,complete,X1,0.29793731681315805
4,complete,X1,0.2942173954174761
5,complete,X1,0.30837994169049854
6,complete,X1,0.29265014504240155
7,complete,X1,0.3159104214770095
8,complete,X1,0.2985349669647708
9,complete,X1,0.32147985864696005
10,complete,X1,0.31913015231127645
11,complete,X1,0.2990484753676474
12,complete,X1,0.28794432375276774
13,complete,X1,0.31275842794450476
14,complete,X1,0.28803552022369605
15,complete,X1,0.2957804102091096
16,complete,X1,0.31339043530503496
17,complete,X1,0.3182102393283011
18,complete,X1,0.3045814413049177
19,complete,X1,0.3068949896095982
20,complete,X1,0.30218223863116833
21,complete,X1,0.31732592112517133
22,complete,X1,0.2960367735295586
23,complete,X1,0.2997523651227848
24,complete,X1,0.3038804739875374
25,complete,X1,0.3113875238999274
26,complete,X1,0.2896578710785005
27,complete,X1,0.3022474850781476
28,complete,X1,0.30991376637741924
29,complete,X1,0.316923546315909
30,complete,X1,0.3098368724424815
31,complete,X1,0.3031319291235835
32,complete,X1,0.32304056851038054
33,complete,X1,0.2995374262066272
34,complete,X1,0.3205552123724009
35,complete,X1,0.32503792007543675
36,complete,X1,0.29226364975843644
37,complete,X1,0.3114649736020201
38,complete,X1,0.30841462752619697
39,complete,X1,0.3197770127520645
40,complete,X1,0.30321611845113333
41,complete,X1,0.2946801784948148
42,complete,X1,0.2932884892871417
43,complete,X1,0.3021311317121124
44,complete,X1,0.3051314819265891
45,complete,X1,0.2993734076123371
46,complete,X1,0.31185950155072134
47,complete,X1,0.3123147117733731
48,complete,X1,0.2942097047311915
49,complete,X1,0.30680955459658915
50,complete,X1,0.30330887357961467
51,complete,X1,0.31597335438737906
52,complete,X1,0.3209240064996337
53,complete,X1,0.3256504131132029
54,complete,X1,0.28513964134294223
55,complete,X1,0.29880015732721416
56,complete,X1,0.3067285671642759
57,complete,X1,0.299299160359044
58,complete,X1,0.2975220129933667
59,complete,X1,0.29047417975542333
60,complete,X1,0.3192503371302914
61,complete,X1,0.3048527750476734
62,complete,X1,0.30048195572799996
63,complete,X1,0.30217015999888563
64,complete,X1,0.29513120577544544
65,complete,X1,0.297532754592187
66,complete,X1,0.30802079267189175
67,complete,X1,0.30646052461773116
68,complete,X1,0.2787608021178889
69,complete,X1,0.3063328763210061
70,complete,X1,0.3175080719076021
71,complete,X1,0.28858721840185464
72,complete,X1,0.3104128633999935
73,complete,X1,0.3050159640162464
74,complete,X1,0.3007885998320162
75,complete,X1,0.2819523151926815
76,complete,X1,0.3005515761248828
77,complete,X1,0.2876074707322649
78,complete,X1,0.30010032238463874
79,complete,X1,0.2957159575140875
80,complete,X1,0.304669158997754
81,complete,X1,0.32073318447594723
82,complete,X1,0.3099397603248511
83,complete,X1,0.28836675664756917
84,complete,X1,0.3227159775166416
85,complete,X1,0.30274827586400754
86,complete,X1,0.3190527948169697
87,complete,X1,0.29528829758185837
88,complete,X1,0.29493053719701423
