,sample,Variable,First Order Effect
0,complete,X1,0.2908022441893755
1,complete,X1,0.29500712139570123
2,complete,X1,0.3098864905096514
3,complete,X1,0.30745314165522053
4,complete,X1,0.2774800317673938
5,complete,X1,0.30224974688959594
6,complete,X1,0.31246878834320063
7,complete,X1,0.32075167170516766
8,complete,X1,0.31179582966460595
9,complete,X1,0.31803813128769537
10,complete,X1,0.3170233372379723
11,complete,X1,0.3161020049163713
12,complete,X1,0.3125149415657078
13,complete,X1,0.30188568140926264
14,complete,X1,0.28726643130759166
15,complete,X1,0.31141837645171194
16,complete,X1,0.3026109676374905
17,complete,X1,0.3000139298725599
18,complete,X1,0.3034297600444437
19,complete,X1,0.32428367462254953
20,complete,X1,0.2950166201830006
21,complete,X1,0.30300764438869854
22,complete,X1,0.3096252130733698
23,complete,X1,0.2923718377079607
24,complete,X1,0.30009188821149174
25,complete,X1,0.3009599102269238
26,complete,X1,0.29617941500698003
27,complete,X1,0.326647999778256
28,complete,X1,0.31149160754052807
29,complete,X1,0.3104604186203917
30,complete,X1,0.32574277873562
31,complete,X1,0.3034329032429306
32,complete,X1,0.32274633793216384
33,complete,X1,0.3219213853627498
34,complete,X1,0.29166479233409887
35,complete,X1,0.31521076955915095
36,complete,X1,0.2904472929453722
37,complete,X1,0.31082253998043385
38,complete,X1,0.3044243164454712
39,complete,X1,0.3016358176664798
40,complete,X1,0.3133475504042934
41,complete,X1,0.3047548280277768
42,complete,X1,0.2938829402224135
43,complete,X1,0.3083713205216814
44,complete,X1,0.3125226908348216
45,complete,X1,0.29120680444251185
46,complete,X1,0.29153697501740483
47,complete,X1,0.2892319788795182
48,complete,X1,0.29605421169940443
49,complete,X1,0.3153818388435937
50,complete,X1,0.295527880578783
51,complete,X1,0.3108463544398223
52,complete,X1,0.2961416288991832
53,complete,X1,0.3004935050740238
54,complete,X1,0.30997049461270565
55,complete,X1,0.30687294137112303
56,complete,X1,0.2984639043994725
57,complete,X1,0.2995707917167186
58,complete,X1,0.30531727250428764
59,complete,X1,0.31176521922083744
60,complete,X1,0.32858276630709055
61,complete,X1,0.3241152253411807
62,complete,X1,0.30451570382308096
63,complete,X1,0.28850415181702993
64,complete,X1,0.2959490075114295
65,complete,X1,0.3067146803925338
66,complete,X1,0.30188036309981486
67,complete,X1,0.31940356181353313
68,complete,X1,0.28789613903635725
69,complete,X1,0.3158324702889983
70,complete,X1,0.3165004993987639
71,complete,X1,0.304010282483329
72,complete,X1,0.2833012375654718
73,complete,X1,0.3094896662269531
74,complete,X1,0.2978983085505469
75,complete,X1,0.3111240628717002
76,complete,X1,0.29807669579598794
77,complete,X1,0.31651009252872986
78,complete,X1,0.2806246068857662
79,complete,X1,0.28923253262899656
80,complete,X1,0.2919194230473125
81,complete,X1,0.2978315002243095
82,complete,X1,0.28965158773448935
83,complete,X1,0.30614640856258757
84,complete,X1,0.3150958921803912
85,complete,X1,0.30468785756313077
86,complete,X1,0.3204112864111075
87,complete,X1,0.30053130978867315
88,complete,X1,0.30792287108347915
89,complete,X1,0.3203238388853033
90,complete,X1,0.2762759386753146
91,complete,X1,0.2896780377729362
92,complete,X1,0.30397459125845794
93,complete,X1,0.31420297809428044
94,complete,X1,0.3125658549544118
95,complete,X1,0.31123832012002983
96,complete,X1,0.2969915228855422
97,complete,X1,0.30022449524526484
98,complete,X1,0.30560830899391034
99,complete,X1,0.306848727333505
100,complete,X1,0.2938327268240336
101,complete,X1,0.3054811895688595
102,complete,X1,0.3187385268908046
103,complete,X1,0.286495467368578
104,complete,X1,0.30472878534401576
105,complete,X1,0.31600057403088544
106,complete,X1,0.296676659191818
107,complete,X1,0.3045573335960807
108,complete,X1,0.3000482866190086
109,complete,X1,0.29772654942086163
110,complete,X1,0.2982745823682055
111,complete,X1,0.30361403005608933
112,complete,X1,0.30954827623199216
113,complete,X1,0.2976223995788378
114,complete,X1,0.31955234471571786
115,complete,X1,0.3124703973905803
116,complete,X1,0.3161297935925315
117,complete,X1,0.289217903489803
118,complete,X1,0.30469523242619984
119,complete,X1,0.3106294532084782
120,complete,X1,0.3113062369947026
121,complete,X1,0.31376687685885546
122,complete,X1,0.2869012139923237
123,complete,X1,0.3024825705302831
124,complete,X1,0.31446443442176597
125,complete,X1,0.3014058360809843
126,complete,X1,0.2989110749387328
127,complete,X1,0.33309131106678463
128,complete,X1,0.31191099741625666
129,complete,X1,0.3248913917625662
130,complete,X1,0.2911024194420238
131,complete,X1,0.30468578828530785
132,complete,X1,0.3092268033939371
133,complete,X1,0.30441245737865436
134,complete,X1,0.3374547099247315
135,complete,X1,0.28233551544409063
136,complete,X1,0.2903593878761367
137,complete,X1,0.29265467181135046
138,complete,X1,0.3250405086051968
139,complete,X1,0.2895858112418676
140,complete,X1,0.3023574607436338
141,complete,X1,0.3119555644504149
142,complete,X1,0.3089780575910392
143,complete,X1,0.3127137994445959
144,complete,X1,0.3142830604438468
145,complete,X1,0.30819551462901457
146,complete,X1,0.32707487179394196
147,complete,X1,0.3087241093423906
148,complete,X1,0.330237697288278
149,complete,X1,0.30266263331903487
150,complete,X1,0.322966239911353
151,complete,X1,0.3075860092106653
152,complete,X1,0.31400321069441045
153,complete,X1,0.30601785698816475
154,complete,X1,0.3156797819564342
155,complete,X1,0.3036529067675335
156,complete,X1,0.3006403599019618
157,complete,X1,0.32342194908756905
158,complete,X1,0.2741325883299376
159,complete,X1,0.29084746077931034
160,complete,X1,0.32782834539974537
161,complete,X1,0.30282749761320343
162,complete,X1,0.3067334841600263
163,complete,X1,0.32569042148190996
164,complete,X1,0.30435991355284553
165,complete,X1,0.30313936109099
166,complete,X1,0.31322192759404455
167,complete,X1,0.2927239470162519
168,complete,X1,0.29866217182196003
169,complete,X1,0.3213437324738157
170,complete,X1,0.3075837184704605
171,complete,X1,0.30647871795267106
172,complete,X1,0.3278451615213612
173,complete,X1,0.3265505916956445
174,complete,X1,0.2981344985702013
175,complete,X1,0.30566310028717714
176,complete,X1,0.3055318401591595
177,complete,X1,0.3015655066550986
178,complete,X1,0.302149370089483
179,complete,X1,0.29931249020755313
180,complete,X1,0.29633941074210507
181,complete,X1,0.29816871017142144
182,complete,X1,0.30408359094493603
183,complete,X1,0.3121651803435347
184,complete,X1,0.3096580515436591
185,complete,X1,0.30182839743449147
186,complete,X1,0.2939420960615006
187,complete,X1,0.31341627432395713
188,complete,X1,0.3106718212417265
189,complete,X1,0.3227285571550637
190,complete,X1,0.3061082627338598
191,complete,X1,0.2914356790228156
192,complete,X1,0.30841529280802865
193,complete,X1,0.3185745906746003
194,complete,X1,0.3039711374129351
195,complete,X1,0.30706010184806753
196,complete,X1,0.30674172487921175
197,complete,X1,0.3002698728047736
198,complete,X1,0.29592966925564446
199,complete,X1,0.31055413783063535
200,complete,X1,0.305161264716812
201,complete,X1,0.29608087720869997
202,complete,X1,0.3102208692766855
203,complete,X1,0.28503953729522213
204,complete,X1,0.32201084759903803
205,complete,X1,0.29838257546426794
206,complete,X1,0.30407334628283234
207,complete,X1,0.304598231342075
208,complete,X1,0.31941342806215745
209,complete,X1,0.29135257309066503
210,complete,X1,0.309912494805101
211,complete,X1,0.29969220390379864
212,complete,X1,0.303011212323282
213,complete,X1,0.302524104749404
214,complete,X1,0.2971956205741697
215,complete,X1,0.31106005893772065
