,sample,Variable,First Order Effect
0,complete,X1,0.3157652733570734
1,complete,X1,0.30510394504920796
2,complete,X1,0.3112109165095215
3,complete,X1,0.28139639799877225
4,complete,X1,0.3108693698170515
5,complete,X1,0.3010216544056408
6,complete,X1,0.30505841444516985
7,complete,X1,0.30297853392048824
8,complete,X1,0.2867410457745872
9,complete,X1,0.3219040607561602
10,complete,X1,0.3069202512915621
11,complete,X1,0.29856164106787586
12,complete,X1,0.3029301058684722
13,complete,X1,0.2967282628038141
14,complete,X1,0.2763859631557339
15,complete,X1,0.2994663690606881
16,complete,X1,0.31674525927088565
17,complete,X1,0.3154105793270273
18,complete,X1,0.2814424313074012
19,complete,X1,0.31319313666584053
20,complete,X1,0.3156542260231272
21,complete,X1,0.2909787228589502
22,complete,X1,0.30517740565216506
23,complete,X1,0.3011499302842151
24,complete,X1,0.2945834312101464
25,complete,X1,0.30842826295466136
26,complete,X1,0.30134911259033526
27,complete,X1,0.30800882020765447
28,complete,X1,0.3026065216101105
29,complete,X1,0.3267989363482419
30,complete,X1,0.3080702482564836
31,complete,X1,0.3140851450775776
32,complete,X1,0.29379227537123287
33,complete,X1,0.3233677111319219
34,complete,X1,0.298902337276935
35,complete,X1,0.3097939087530121
36,complete,X1,0.2849320015185728
37,complete,X1,0.30588376835685765
38,complete,X1,0.3175578441925272
39,complete,X1,0.3099512830358047
40,complete,X1,0.3180203193280879
41,complete,X1,0.30138294176635994
42,complete,X1,0.32832077970584134
43,complete,X1,0.29844992816008853
44,complete,X1,0.3118961993247661
45,complete,X1,0.30134902462696034
46,complete,X1,0.29277086414425574
47,complete,X1,0.3080765311366901
48,complete,X1,0.3226858319798119
49,complete,X1,0.30309005324313487
50,complete,X1,0.3112782046533933
51,complete,X1,0.30287635118354866
52,complete,X1,0.30203952566682596
53,complete,X1,0.2956332755841703
54,complete,X1,0.30900669812455167
55,complete,X1,0.30523735858820633
56,complete,X1,0.30481422541888814
57,complete,X1,0.31213277290809
58,complete,X1,0.2815316113858404
59,complete,X1,0.3169556512923166
60,complete,X1,0.31416840728652895
61,complete,X1,0.30885428346469973
62,complete,X1,0.3067896421252432
63,complete,X1,0.3266043903152409
64,complete,X1,0.3065774768209145
65,complete,X1,0.28440200195339144
66,complete,X1,0.2902803665114084
67,complete,X1,0.3049892829634504
68,complete,X1,0.31449985615161896
69,complete,X1,0.31723006086582095
70,complete,X1,0.3086191022149301
71,complete,X1,0.2694506433333831
72,complete,X1,0.3055256475304225
73,complete,X1,0.28830803605693933
74,complete,X1,0.29491402264140515
75,complete,X1,0.31093718712762286
76,complete,X1,0.30617524301754045
77,complete,X1,0.2956094363873035
78,complete,X1,0.32362615614443846
79,complete,X1,0.2977762612046579
80,complete,X1,0.27817622286943167
81,complete,X1,0.3100568327959221
82,complete,X1,0.3258061900077831
83,complete,X1,0.31428548878695506
84,complete,X1,0.3117476079016653
85,complete,X1,0.2974160516206814
86,complete,X1,0.2984693254751885
87,complete,X1,0.31461465176193343
88,complete,X1,0.3127625130471424
89,complete,X1,0.31256669020398786
90,complete,X1,0.29464457903874547
91,complete,X1,0.3018162167653972
92,complete,X1,0.29544994690893484
93,complete,X1,0.3226508184107594
94,complete,X1,0.2953698792213712
95,complete,X1,0.3105523976419984
96,complete,X1,0.2830260250128309
97,complete,X1,0.3174084414124928
98,complete,X1,0.3079365947427532
99,complete,X1,0.29746386174278977
100,complete,X1,0.31439768746023006
101,complete,X1,0.3112204370945903
102,complete,X1,0.29669857857782267
103,complete,X1,0.29804194863977995
104,complete,X1,0.3116974472245207
105,complete,X1,0.2907475580519229
106,complete,X1,0.27597346937675366
107,complete,X1,0.29215856199921847
108,complete,X1,0.2893664169499598
109,complete,X1,0.2831361883782491
110,complete,X1,0.31877029903449844
111,complete,X1,0.3165156512871321
112,complete,X1,0.3009652364296337
113,complete,X1,0.3159634055908171
114,complete,X1,0.29016674961209615
115,complete,X1,0.30926820349863005
116,complete,X1,0.302473548158377
117,complete,X1,0.3127119064063301
118,complete,X1,0.31454826760455473
119,complete,X1,0.3120581627278382
120,complete,X1,0.3050279283293168
121,complete,X1,0.3066752214881512
122,complete,X1,0.2880775972568524
123,complete,X1,0.3039408844184095
124,complete,X1,0.29179336997903677
125,complete,X1,0.30097461551821353
126,complete,X1,0.32168715889598287
127,complete,X1,0.3200543969420819
128,complete,X1,0.29455564540925494
129,complete,X1,0.30770969312206903
130,complete,X1,0.3122929263319817
131,complete,X1,0.30890808535122544
132,complete,X1,0.29310127527600605
133,complete,X1,0.3140230014462339
134,complete,X1,0.30059947933227926
135,complete,X1,0.29794928625344735
136,complete,X1,0.321841454206108
137,complete,X1,0.3166081659065989
138,complete,X1,0.2871098834289468
139,complete,X1,0.3220587434485276
140,complete,X1,0.2972388685329739
141,complete,X1,0.2946557567657432
142,complete,X1,0.2952008084117231
143,complete,X1,0.31905638961956123
144,complete,X1,0.3128423759855256
145,complete,X1,0.3054417721411048
146,complete,X1,0.31891257509310483
147,complete,X1,0.29760043175163353
148,complete,X1,0.2891558544789168
149,complete,X1,0.3168359318511287
150,complete,X1,0.308711956304854
151,complete,X1,0.28682755264032
152,complete,X1,0.28821540725985706
153,complete,X1,0.3170704087001005
154,complete,X1,0.30042913509795127
155,complete,X1,0.31492854639695217
156,complete,X1,0.3136673690704229
157,complete,X1,0.3086672783963173
158,complete,X1,0.3068144821610903
159,complete,X1,0.3096348854923731
160,complete,X1,0.3235526635079936
161,complete,X1,0.3002143568195275
162,complete,X1,0.30208153558262046
163,complete,X1,0.3089942513497334
164,complete,X1,0.29838494054859355
165,complete,X1,0.3056732599036263
166,complete,X1,0.30534634743948585
167,complete,X1,0.3270100991803207
168,complete,X1,0.28953709999279537
169,complete,X1,0.3087096977922539
170,complete,X1,0.3044815135306326
171,complete,X1,0.31004617092123543
172,complete,X1,0.28976360815398966
173,complete,X1,0.2965857317832796
174,complete,X1,0.29001554830328474
175,complete,X1,0.3149886400339921
176,complete,X1,0.30643747245803665
177,complete,X1,0.3283780942346507
178,complete,X1,0.30622872539602164
179,complete,X1,0.29493361515140065
180,complete,X1,0.2894331292668425
181,complete,X1,0.31067512119116675
182,complete,X1,0.3045311232724091
183,complete,X1,0.31674179800153945
184,complete,X1,0.31211209666610185
185,complete,X1,0.2901869956691483
186,complete,X1,0.3125378522062393
187,complete,X1,0.32251602066976187
188,complete,X1,0.3220489892153543
189,complete,X1,0.3068402345614674
190,complete,X1,0.30395199512228926
191,complete,X1,0.2959981867271525
192,complete,X1,0.29885394614621374
193,complete,X1,0.2995296612445731
194,complete,X1,0.3074434877695196
195,complete,X1,0.2960674087574431
196,complete,X1,0.30928209402432216
