,sample,Variable,First Order Effect
0,complete,X1_X2,0.7978433547129836
1,complete,X1_X2,0.7995541863368597
2,complete,X1_X2,0.8020201382250163
3,complete,X1_X2,0.792432264087617
4,complete,X1_X2,0.7942784910798399
5,complete,X1_X2,0.7979154005735735
6,complete,X1_X2,0.799689879400268
7,complete,X1_X2,0.794831001221955
8,complete,X1_X2,0.7913862672463
9,complete,X1_X2,0.7965337351862262
10,complete,X1_X2,0.7944881649604952
11,complete,X1_X2,0.8033375450026036
12,complete,X1_X2,0.8022404334403752
13,complete,X1_X2,0.8011705417194384
14,complete,X1_X2,0.7980470207745924
15,complete,X1_X2,0.8051620520232678
16,complete,X1_X2,0.7971624305581144
17,complete,X1_X2,0.79392909016927
18,complete,X1_X2,0.7987942962656179
19,complete,X1_X2,0.7908669520884467
20,complete,X1_X2,0.7948460624159387
21,complete,X1_X2,0.7957773692242027
22,complete,X1_X2,0.7916727246822555
23,complete,X1_X2,0.8052528730498981
24,complete,X1_X2,0.8048860342870002
25,complete,X1_X2,0.7973516980951105
26,complete,X1_X2,0.802659083236017
27,complete,X1_X2,0.7982759925852407
28,complete,X1_X2,0.795572711478161
29,complete,X1_X2,0.7945881015080513
30,complete,X1_X2,0.7989434077592733
31,complete,X1_X2,0.7971716612601156
32,complete,X1_X2,0.7978450192723479
33,complete,X1_X2,0.8040817318649195
34,complete,X1_X2,0.7989259171932563
35,complete,X1_X2,0.7992122885138883
36,complete,X1_X2,0.8067382466011797
37,complete,X1_X2,0.8018830880395562
38,complete,X1_X2,0.7922351913251904
39,complete,X1_X2,0.8033998585996934
40,complete,X1_X2,0.7980252199938224
41,complete,X1_X2,0.8043391151916244
42,complete,X1_X2,0.7996947920030413
43,complete,X1_X2,0.8007841610985262
44,complete,X1_X2,0.8006123859315069
45,complete,X1_X2,0.8028286448262002
46,complete,X1_X2,0.804028900795024
47,complete,X1_X2,0.797067261680967
48,complete,X1_X2,0.7953329841961769
49,complete,X1_X2,0.8013176872433081
50,complete,X1_X2,0.8036916859843349
51,complete,X1_X2,0.7923459257389424
52,complete,X1_X2,0.7972871215208523
53,complete,X1_X2,0.7943648788733139
54,complete,X1_X2,0.793759665101157
55,complete,X1_X2,0.8062332660417232
56,complete,X1_X2,0.7983256941872341
57,complete,X1_X2,0.8082200928357137
58,complete,X1_X2,0.8058724832137467
59,complete,X1_X2,0.801085323464282
60,complete,X1_X2,0.8028105341719497
61,complete,X1_X2,0.8046627152463514
62,complete,X1_X2,0.804624338068309
63,complete,X1_X2,0.8019356791657378
64,complete,X1_X2,0.7961211391011184
65,complete,X1_X2,0.8023150772610553
66,complete,X1_X2,0.7939646939118855
67,complete,X1_X2,0.7954197060012621
68,complete,X1_X2,0.8105617790300846
69,complete,X1_X2,0.7992571247528791
70,complete,X1_X2,0.79890084346787
71,complete,X1_X2,0.803953929100896
72,complete,X1_X2,0.8001934547001509
73,complete,X1_X2,0.8034435618801784
74,complete,X1_X2,0.7970573778025777
75,complete,X1_X2,0.7952975335002663
76,complete,X1_X2,0.7956948232116332
77,complete,X1_X2,0.8026831150341387
78,complete,X1_X2,0.7929355049882986
79,complete,X1_X2,0.8019827265723789
80,complete,X1_X2,0.8017326985599007
81,complete,X1_X2,0.7948838946315574
82,complete,X1_X2,0.7917532844481532
83,complete,X1_X2,0.7976120859473852
84,complete,X1_X2,0.8082849799522652
85,complete,X1_X2,0.7925572203028138
