,sample,Variable,First Order Effect
0,complete,X1_X2,0.8010811218621113
1,complete,X1_X2,0.7925446304275626
2,complete,X1_X2,0.8008231858575617
3,complete,X1_X2,0.8035686991768665
4,complete,X1_X2,0.8013187075422773
5,complete,X1_X2,0.7963773170916686
6,complete,X1_X2,0.7985546923444544
7,complete,X1_X2,0.8014452017151981
8,complete,X1_X2,0.8004306482398965
9,complete,X1_X2,0.7927359880634482
10,complete,X1_X2,0.8018021827310203
11,complete,X1_X2,0.7950467767988371
12,complete,X1_X2,0.8048537994369176
13,complete,X1_X2,0.8006660704881697
14,complete,X1_X2,0.8007804461458791
15,complete,X1_X2,0.7997417461351785
16,complete,X1_X2,0.8054256761952782
17,complete,X1_X2,0.7954939822469309
18,complete,X1_X2,0.8036511422605782
19,complete,X1_X2,0.7963630372782642
20,complete,X1_X2,0.7958514608705212
21,complete,X1_X2,0.7959512734360182
22,complete,X1_X2,0.796901100262639
23,complete,X1_X2,0.7998697474324457
24,complete,X1_X2,0.7996603737222838
25,complete,X1_X2,0.7941176642774276
26,complete,X1_X2,0.80466379562292
27,complete,X1_X2,0.79761384061178
28,complete,X1_X2,0.810365002113446
29,complete,X1_X2,0.7920063393091406
30,complete,X1_X2,0.8008293885788376
31,complete,X1_X2,0.7990107214769055
32,complete,X1_X2,0.8024404830625362
33,complete,X1_X2,0.8032000862858208
34,complete,X1_X2,0.7964432315354747
35,complete,X1_X2,0.8001747841788002
36,complete,X1_X2,0.8012908557577263
37,complete,X1_X2,0.8009416995951156
38,complete,X1_X2,0.7945970832324172
39,complete,X1_X2,0.8150470374499551
40,complete,X1_X2,0.7965145469370746
41,complete,X1_X2,0.800611044294345
42,complete,X1_X2,0.7979229463049038
43,complete,X1_X2,0.796857455975699
44,complete,X1_X2,0.8039171457149235
45,complete,X1_X2,0.7990278757909491
46,complete,X1_X2,0.8031455803802204
47,complete,X1_X2,0.8038519920983326
48,complete,X1_X2,0.8025535688374791
49,complete,X1_X2,0.8029100935242471
50,complete,X1_X2,0.8060015785442516
51,complete,X1_X2,0.810757309154834
52,complete,X1_X2,0.798686132991238
53,complete,X1_X2,0.7996576931501179
54,complete,X1_X2,0.8053740890691617
55,complete,X1_X2,0.8016328378766762
56,complete,X1_X2,0.8061937636793731
57,complete,X1_X2,0.8039905587647103
58,complete,X1_X2,0.8003342987453669
59,complete,X1_X2,0.8067412523697363
60,complete,X1_X2,0.801564105638212
61,complete,X1_X2,0.7972217378067313
62,complete,X1_X2,0.7969358329909855
63,complete,X1_X2,0.8122514438387886
64,complete,X1_X2,0.8015185097679205
65,complete,X1_X2,0.8018872192797089
66,complete,X1_X2,0.8058076493681818
67,complete,X1_X2,0.8027927900685449
68,complete,X1_X2,0.7965049878800348
69,complete,X1_X2,0.801198609495961
70,complete,X1_X2,0.8031272528263294
71,complete,X1_X2,0.8033706079487375
72,complete,X1_X2,0.8063441198472481
73,complete,X1_X2,0.7978186262615468
74,complete,X1_X2,0.795341851613325
75,complete,X1_X2,0.8043776964925151
76,complete,X1_X2,0.7973936737966699
77,complete,X1_X2,0.793500312165781
78,complete,X1_X2,0.801267925901942
79,complete,X1_X2,0.8057218278137595
80,complete,X1_X2,0.7996349170457889
81,complete,X1_X2,0.7995719134637406
82,complete,X1_X2,0.796754940644884
83,complete,X1_X2,0.7980833593515262
84,complete,X1_X2,0.8080985298974892
85,complete,X1_X2,0.7951984491138719
86,complete,X1_X2,0.8049498358828531
87,complete,X1_X2,0.8007320619919606
88,complete,X1_X2,0.8054196623004789
89,complete,X1_X2,0.7936613634223961
90,complete,X1_X2,0.8007195962548493
91,complete,X1_X2,0.7979542278964725
92,complete,X1_X2,0.8033821433806616
93,complete,X1_X2,0.8018358529418969
94,complete,X1_X2,0.7972965572205802
95,complete,X1_X2,0.7941597262464302
96,complete,X1_X2,0.7967000949971758
97,complete,X1_X2,0.8024093236051107
98,complete,X1_X2,0.8071628214049407
99,complete,X1_X2,0.8035103409783404
100,complete,X1_X2,0.7906598373330349
101,complete,X1_X2,0.8030819740629515
102,complete,X1_X2,0.8012511092505944
103,complete,X1_X2,0.7963803621588132
104,complete,X1_X2,0.8010250811783132
105,complete,X1_X2,0.8050962093473084
106,complete,X1_X2,0.8039281316169244
107,complete,X1_X2,0.8025088164573019
108,complete,X1_X2,0.8019009475892924
109,complete,X1_X2,0.7971304643472216
110,complete,X1_X2,0.7948800081924067
111,complete,X1_X2,0.8014471727478424
112,complete,X1_X2,0.8019285183590209
113,complete,X1_X2,0.7953466898557763
114,complete,X1_X2,0.795724505833949
115,complete,X1_X2,0.7956848713749024
116,complete,X1_X2,0.7978014301056785
117,complete,X1_X2,0.8006224980751384
118,complete,X1_X2,0.8044722284349817
119,complete,X1_X2,0.801820631483059
120,complete,X1_X2,0.8019983694259224
121,complete,X1_X2,0.7986505135955702
122,complete,X1_X2,0.7936370964403544
123,complete,X1_X2,0.7950331061848318
124,complete,X1_X2,0.8042909447263915
125,complete,X1_X2,0.8000130643379705
126,complete,X1_X2,0.8027641462543338
127,complete,X1_X2,0.8034975888210368
128,complete,X1_X2,0.7994302100498994
129,complete,X1_X2,0.7974229806009409
130,complete,X1_X2,0.7985347694621264
131,complete,X1_X2,0.7905413530280448
132,complete,X1_X2,0.8010310439920219
133,complete,X1_X2,0.7984706922822893
134,complete,X1_X2,0.79769210552918
135,complete,X1_X2,0.802777528443588
136,complete,X1_X2,0.802202936809196
137,complete,X1_X2,0.7929439317699744
138,complete,X1_X2,0.792149376204504
139,complete,X1_X2,0.7975277228290325
140,complete,X1_X2,0.7956570173963545
141,complete,X1_X2,0.793956042244164
142,complete,X1_X2,0.7946386719614785
