,sample,Variable,First Order Effect
0,complete,X1_X2,0.8025839492722755
1,complete,X1_X2,0.7938722740191538
2,complete,X1_X2,0.8093596848340155
3,complete,X1_X2,0.7929384740912331
4,complete,X1_X2,0.7946363883896006
5,complete,X1_X2,0.8057061699994307
6,complete,X1_X2,0.7995330935272335
7,complete,X1_X2,0.7974528787898784
8,complete,X1_X2,0.7976099090895059
9,complete,X1_X2,0.7966238611642666
10,complete,X1_X2,0.7927579526095236
11,complete,X1_X2,0.8011541581802079
12,complete,X1_X2,0.7999457250510468
13,complete,X1_X2,0.8019746572957851
14,complete,X1_X2,0.8068179555493344
15,complete,X1_X2,0.8021699518907686
16,complete,X1_X2,0.8018928492658235
17,complete,X1_X2,0.7989689220685237
18,complete,X1_X2,0.8048382133176919
19,complete,X1_X2,0.8060301810139008
20,complete,X1_X2,0.8012951882709263
21,complete,X1_X2,0.7948744027713898
22,complete,X1_X2,0.7985282049147541
23,complete,X1_X2,0.7945824077230189
24,complete,X1_X2,0.8011638918795327
25,complete,X1_X2,0.7999618742067527
26,complete,X1_X2,0.8067802037691283
27,complete,X1_X2,0.7993786202318234
28,complete,X1_X2,0.799769288619941
29,complete,X1_X2,0.7948960750783063
30,complete,X1_X2,0.8000840185541636
31,complete,X1_X2,0.7980579176849744
32,complete,X1_X2,0.7922149074292055
33,complete,X1_X2,0.7947470324642253
34,complete,X1_X2,0.7981135481596586
35,complete,X1_X2,0.8033979809001439
36,complete,X1_X2,0.7972364701499838
37,complete,X1_X2,0.8089616702560021
38,complete,X1_X2,0.8083210979403836
39,complete,X1_X2,0.7926674523891624
40,complete,X1_X2,0.7899720682149374
41,complete,X1_X2,0.790496071373905
42,complete,X1_X2,0.7916045369496572
43,complete,X1_X2,0.8022159561660799
44,complete,X1_X2,0.7986820228906565
45,complete,X1_X2,0.7979195817226659
46,complete,X1_X2,0.7938747727160563
47,complete,X1_X2,0.7915903524215087
48,complete,X1_X2,0.7988374823347756
49,complete,X1_X2,0.7942679000671397
50,complete,X1_X2,0.7936601055831725
51,complete,X1_X2,0.7988677020119257
52,complete,X1_X2,0.7975316293868631
53,complete,X1_X2,0.8007269947509095
54,complete,X1_X2,0.8081807679226808
55,complete,X1_X2,0.8066359234388141
56,complete,X1_X2,0.797679487631001
57,complete,X1_X2,0.8023459497105646
58,complete,X1_X2,0.8047499862048468
59,complete,X1_X2,0.8039835942722089
60,complete,X1_X2,0.8080975367534785
61,complete,X1_X2,0.7998047839847425
62,complete,X1_X2,0.7987452364385912
63,complete,X1_X2,0.7941412626423885
64,complete,X1_X2,0.7960628106751488
65,complete,X1_X2,0.805852297287404
66,complete,X1_X2,0.8032087967586279
67,complete,X1_X2,0.7934677286495128
68,complete,X1_X2,0.7974718059833085
69,complete,X1_X2,0.7958582513189415
70,complete,X1_X2,0.8064535754184049
71,complete,X1_X2,0.7922851915990357
72,complete,X1_X2,0.8035009939265146
73,complete,X1_X2,0.8018727989859686
74,complete,X1_X2,0.8020431302558177
75,complete,X1_X2,0.8018287702016815
76,complete,X1_X2,0.7991461792852939
77,complete,X1_X2,0.7972312111845874
78,complete,X1_X2,0.8007912989462841
79,complete,X1_X2,0.791557036626844
80,complete,X1_X2,0.7989051639881276
81,complete,X1_X2,0.7938920844671161
82,complete,X1_X2,0.7966371477999333
83,complete,X1_X2,0.8015609595331304
84,complete,X1_X2,0.8040019398116633
85,complete,X1_X2,0.7964108984365185
86,complete,X1_X2,0.8046176755784806
87,complete,X1_X2,0.799379502126784
88,complete,X1_X2,0.7940290334009017
89,complete,X1_X2,0.7984364650345622
90,complete,X1_X2,0.8015666483138476
91,complete,X1_X2,0.8056221620450001
92,complete,X1_X2,0.7980108202928675
93,complete,X1_X2,0.7995566487619794
94,complete,X1_X2,0.8038394800676617
95,complete,X1_X2,0.7930116163537203
96,complete,X1_X2,0.798225175972583
97,complete,X1_X2,0.797818617332533
98,complete,X1_X2,0.8063682712638639
99,complete,X1_X2,0.7951154740018582
100,complete,X1_X2,0.798180838675858
101,complete,X1_X2,0.80139617724817
102,complete,X1_X2,0.8038422766669028
103,complete,X1_X2,0.7987290238812196
104,complete,X1_X2,0.8108082535107302
105,complete,X1_X2,0.8083806442781797
106,complete,X1_X2,0.8001742488090361
107,complete,X1_X2,0.802855269250789
108,complete,X1_X2,0.79126181429463
109,complete,X1_X2,0.7952764875280351
110,complete,X1_X2,0.7998099858066908
111,complete,X1_X2,0.8016095358493815
112,complete,X1_X2,0.8000040839130649
113,complete,X1_X2,0.80212062996204
114,complete,X1_X2,0.8034273710018389
115,complete,X1_X2,0.8032194830821916
116,complete,X1_X2,0.8082942173686776
