,sample,Variable,First Order Effect
0,complete,X1,0.3049499390512386
1,complete,X1,0.2857903967920434
2,complete,X1,0.2782554777950159
3,complete,X1,0.2981741562069485
4,complete,X1,0.2897691757940186
5,complete,X1,0.29170765386454595
6,complete,X1,0.2951661689334074
7,complete,X1,0.2928881106173279
8,complete,X1,0.30088043989891
9,complete,X1,0.29985470720212576
10,complete,X1,0.29668951874922583
11,complete,X1,0.2800071604318139
12,complete,X1,0.2878220959748435
13,complete,X1,0.2947137891162137
14,complete,X1,0.2919428699067661
15,complete,X1,0.29057202317721426
16,complete,X1,0.28994951888587767
17,complete,X1,0.2863315919595208
18,complete,X1,0.3011150502897095
19,complete,X1,0.2975851353952549
20,complete,X1,0.3016159961740072
21,complete,X1,0.290065995341764
22,complete,X1,0.3033604851612346
23,complete,X1,0.2911817226904403
24,complete,X1,0.2922414970626066
25,complete,X1,0.3363183106183389
26,complete,X1,0.3054137692325631
27,complete,X1,0.30490703531590757
28,complete,X1,0.30667668736445475
29,complete,X1,0.29804502204392824
30,complete,X1,0.2895489427184092
31,complete,X1,0.3011445408190129
32,complete,X1,0.30176567387329734
33,complete,X1,0.3090538830532184
34,complete,X1,0.291439504548097
35,complete,X1,0.3018280274670868
36,complete,X1,0.294084842607567
37,complete,X1,0.307918344229103
38,complete,X1,0.29082249067822474
39,complete,X1,0.2944796966225197
40,complete,X1,0.29690807126716756
41,complete,X1,0.3086769810501266
42,complete,X1,0.2977931662973926
43,complete,X1,0.2986721401830535
44,complete,X1,0.277893732803106
45,complete,X1,0.3141578613465967
46,complete,X1,0.30082876649316165
47,complete,X1,0.30620668413769075
48,complete,X1,0.30730367171458933
49,complete,X1,0.30449596421474484
50,complete,X1,0.2979548006498213
51,complete,X1,0.268122246890098
52,complete,X1,0.29521050166248763
53,complete,X1,0.30387786080656126
54,complete,X1,0.3017638910286435
55,complete,X1,0.27724705395504384
56,complete,X1,0.2928548776518196
57,complete,X1,0.2954484239455518
58,complete,X1,0.26755210699579135
59,complete,X1,0.3059740147176421
60,complete,X1,0.32134016197631093
61,complete,X1,0.30809774308406523
62,complete,X1,0.3000419765681084
63,complete,X1,0.2979688331541687
64,complete,X1,0.2931995467202178
65,complete,X1,0.2972554369657592
66,complete,X1,0.3126144656974877
67,complete,X1,0.27726391344578283
68,complete,X1,0.2936139179050531
69,complete,X1,0.29689758487976864
70,complete,X1,0.30290151208424165
71,complete,X1,0.3139378125790689
72,complete,X1,0.3034412669631652
73,complete,X1,0.29688661906047104
74,complete,X1,0.30458144801678483
75,complete,X1,0.2855484952184695
76,complete,X1,0.30259585535994765
77,complete,X1,0.28818229830785824
78,complete,X1,0.2970330891736397
79,complete,X1,0.2900730314268647
80,complete,X1,0.30542380837103145
81,complete,X1,0.28585218949447205
82,complete,X1,0.2945955474460217
83,complete,X1,0.30194211194761483
84,complete,X1,0.2847140621073324
85,complete,X1,0.27656004670456036
86,complete,X1,0.2811860543113177
87,complete,X1,0.2955364833700477
88,complete,X1,0.2914238540309564
89,complete,X1,0.2820516218911175
90,complete,X1,0.2952885500201416
91,complete,X1,0.2870614513449121
92,complete,X1,0.28905447360853515
93,complete,X1,0.3008330653669736
94,complete,X1,0.29623728280498346
95,complete,X1,0.28173546794382787
96,complete,X1,0.30070293748902943
97,complete,X1,0.2913597623451093
98,complete,X1,0.2840782994615251
99,complete,X1,0.2959336726438119
100,complete,X1,0.2976862152740625
101,complete,X1,0.2839897687465429
102,complete,X1,0.32666182541236755
103,complete,X1,0.3078214628253924
104,complete,X1,0.31310365949721125
105,complete,X1,0.29239220016942363
106,complete,X1,0.28678370859820124
107,complete,X1,0.30296664211583463
108,complete,X1,0.3063843938642933
109,complete,X1,0.28862260603373113
110,complete,X1,0.28983312548343637
111,complete,X1,0.2891686415069792
112,complete,X1,0.2971888734740847
113,complete,X1,0.3045516198058989
114,complete,X1,0.2860284097654877
115,complete,X1,0.26838845654578086
116,complete,X1,0.28487198410428544
117,complete,X1,0.28238379479101755
118,complete,X1,0.3177275157563161
119,complete,X1,0.27934243607867776
120,complete,X1,0.31637581357467554
121,complete,X1,0.2828780036943869
122,complete,X1,0.28483230699733436
123,complete,X1,0.29017762805743835
124,complete,X1,0.3042665149901791
125,complete,X1,0.2884243954378332
126,complete,X1,0.2859031233052476
127,complete,X1,0.3126432084919892
