,sample,Variable,First Order Effect
0,complete,X1,0.23985609631866228
1,complete,X1,0.13448305873587288
2,complete,X1,0.29954383745011426
3,complete,X1,0.2626538013178668
4,complete,X1,0.30178705295029457
5,complete,X1,-0.11420369471775227
6,complete,X1,-0.7241292863751246
7,complete,X1,0.44697869085553793
8,complete,X1,0.20572901260043533
9,complete,X1,0.32952000361226264
10,cc,X1,-0.05953921750443702
11,cc,X1,0.6115235406988127
12,cc,X1,0.7627828499591532
13,cc,X1,0.3138750855209609
14,cc,X1,0.10312773511009794
15,cc,X1,-0.06152209726108706
16,cc,X1,1.022967356642057
17,cc,X1,-0.049480467644738894
18,cc,X1,-0.34684945496690317
19,cc,X1,0.3030104751982097
20,complete,X2,0.7015220225505123
21,complete,X2,0.5104513852635425
22,complete,X2,0.6616664050369114
23,complete,X2,0.7859172865845024
24,complete,X2,0.8588867059817701
25,complete,X2,0.7746819354897573
26,complete,X2,0.1324515325604882
27,complete,X2,0.47828196700172243
28,complete,X2,0.7423045434000739
29,complete,X2,0.3218436330117929
30,cc,X2,0.4110874922991197
31,cc,X2,1.380896030228905
32,cc,X2,1.705281489257522
33,cc,X2,0.315999924383896
34,cc,X2,0.6453643675537354
35,cc,X2,-0.009460239392830723
36,cc,X2,0.5406197694453811
37,cc,X2,0.38646119322943256
38,cc,X2,0.8010743295490156
39,cc,X2,0.7037053929136279
40,complete,X3,0.516186350753477
41,complete,X3,0.3906392513990137
42,complete,X3,1.4394902259265747
43,complete,X3,-0.4271429748454429
44,complete,X3,0.681544283599558
45,complete,X3,-0.078901690792782
46,complete,X3,-0.2760407412916341
47,complete,X3,-0.45957109338857083
48,complete,X3,-0.44874176941329547
49,complete,X3,0.2996552337118504
50,cc,X3,0.46577855376655186
51,cc,X3,-0.4480808618134752
52,cc,X3,-0.14755489073364794
53,cc,X3,0.37269207371818064
54,cc,X3,0.08930446486220152
55,cc,X3,0.6203790352176071
56,cc,X3,1.2653839129939741
57,cc,X3,1.5341026297006257
58,cc,X3,-0.12709423250068047
59,cc,X3,-0.21508098886141977
