,sample,Variable,First Order Effect
0,complete,X1,-0.15076674575450694
1,complete,X1,-0.673343322057554
2,complete,X1,0.20771547423319447
3,complete,X1,0.0071631193435805224
4,complete,X1,0.6555382701588987
5,complete,X1,-0.06615873439645664
6,complete,X1,0.045938348058259
7,complete,X1,-0.10960710752849505
8,complete,X1,-0.20526197748744232
9,complete,X1,-0.2074010042622245
10,cc,X1,-0.14902331516350137
11,cc,X1,0.6003631410909418
12,cc,X1,0.16282819869308393
13,cc,X1,0.6511542388317717
14,cc,X1,-0.15748614867076402
15,cc,X1,-0.4829538493032107
16,cc,X1,0.6426501312314035
17,cc,X1,-0.0024971068773307855
18,cc,X1,-0.1431484785191569
19,cc,X1,-0.18072830883155724
20,complete,X2,0.4232243728496319
21,complete,X2,0.9072545519453741
22,complete,X2,0.03812643998689079
23,complete,X2,0.32845167274754966
24,complete,X2,0.7132248672578217
25,complete,X2,0.23167176829371625
26,complete,X2,0.3197428427484503
27,complete,X2,1.047009621295502
28,complete,X2,0.2297512512880661
29,complete,X2,-0.30096403630668184
30,cc,X2,0.3498992550381663
31,cc,X2,0.874075807334102
32,cc,X2,-0.09487989467580234
33,cc,X2,0.24616403827646535
34,cc,X2,0.8282995866139424
35,cc,X2,0.08890852218831369
36,cc,X2,0.4423410372683756
37,cc,X2,0.23377903472719108
38,cc,X2,0.3509762149617801
39,cc,X2,-0.38661650565944655
40,complete,X3,-0.6153871262433381
41,complete,X3,0.2943362026042413
42,complete,X3,-0.13780482651461065
43,complete,X3,0.93472711736409
44,complete,X3,0.5774806742782834
45,complete,X3,0.3607051631477984
46,complete,X3,-0.24143576495355806
47,complete,X3,-0.45062440231931594
48,complete,X3,-0.41422339260121027
49,complete,X3,-0.5234467240121145
50,cc,X3,-0.4396132174619276
51,cc,X3,0.6205926964862102
52,cc,X3,-0.19249070952326708
53,cc,X3,0.9276427537427457
54,cc,X3,0.5572415301503214
55,cc,X3,0.7965795345344222
56,cc,X3,0.9773921090183706
57,cc,X3,-0.23010285685197054
58,cc,X3,0.6876639937793229
59,cc,X3,0.17118279083661697
